,Prec,ETo,T,Wilzsch,BachOst,KleineBockau
2013-10-19,0.0,0.0,6.858333333333333,1.486717996179824,0.7842307183489878,0.44330615403691653
2013-10-20,3.8,0.0,10.566666666666666,1.2760175649331469,0.7842307183489878,0.44330615403691653
2013-10-21,0.0,0.0,10.845833333333333,1.2760175649331469,0.7842307183489878,0.431954130127117
2013-10-22,0.0,0.0,12.741666666666667,1.2760175649331469,0.7842307183489878,0.4063639745338401
2013-10-23,0.1,0.0,11.329166666666666,1.0830395998660969,0.7842307183489878,0.4063639745338401
2013-10-24,0.0,0.0,9.341666666666667,0.9924581060591144,0.7842307183489878,0.4063639745338401
2013-10-25,0.0,0.0,10.158333333333333,0.9924581060591144,0.7316774705648895,0.3875080704124782
2013-10-26,0.0,0.0,12.200000000000001,0.9924581060591144,0.7542002910437888,0.35095070527922556
2013-10-27,2.0,0.0,10.700000000000001,0.9924581060591144,0.7842307183489878,0.35095070527922556
2013-10-28,0.0,0.0,11.179166666666667,0.9924581060591144,0.7692155046963883,0.35095070527922556
2013-10-29,0.1,0.0,6.804166666666667,0.9924581060591144,0.7166622569122899,0.35095070527922556
2013-10-30,0.0,1.0244417141022102,2.8791666666666664,0.9924581060591144,0.5665101203862944,0.35095070527922556
2013-10-31,0.0,1.107330416736194,3.0041666666666664,0.9924581060591144,0.6040481545177934,0.35095070527922556
2013-11-01,0.0,0.9367740106020073,3.4375,0.9924581060591144,0.6415861886492922,0.35095070527922556
2013-11-02,5.8,0.6198709449288056,7.708333333333333,1.0554713191422327,0.746692684217489,0.35095070527922556
2013-11-03,6.9,0.4838987355550951,4.7124999999999995,1.3606915700135873,0.7842307183489878,0.37461678902338386
2013-11-04,6.0,0.536284202894659,3.275,1.5595770238071798,0.7842307183489878,0.3905865853710679
2013-11-05,4.1,0.33879013621107923,0.8875000000000001,1.9691629088474487,1.1920227543325836,0.4084804535678705
2013-11-06,10.4,0.4105259277544528,2.4916666666666667,2.4141937262469724,1.4178462759624288,0.29842354379828884
2013-11-07,3.8000000000000003,0.46417899387841277,8.716666666666667,5.499872004410925,3.6271993649953695,0.38442955545388857
2013-11-08,3.8,0.36096419745467345,8.012500000000001,2.7036606738475477,1.7552917052520174,0.4773622257663151
2013-11-09,2.9000000000000004,0.6504219171326382,3.966666666666667,2.60126420258748,1.6865326101336156,0.4442681899614758
2013-11-10,6.7,0.3945355414191706,1.2208333333333334,1.9691629088474487,1.2192088900648235,0.46485575874704443
2013-11-11,2.9,0.24074249747881626,-0.03333333333333335,1.8923655554023981,1.2192088900648235,0.5246943932546316
