              i           c_Id    mStart      mEnd            aDD            aDA            TDM
            431         177002       177       177        1.00000        0.01732        1.35573
            432         177003       177       177        1.00000        0.01220        0.99652
            433         177004       177       177        1.00000        0.00591        0.55492
            434         178001       178       178        1.00000        0.01614        1.13039
            435         178002       178       178        1.00000        0.03150        4.83250
            436         178003       178       178        1.00000        0.01378        2.42913
            437         178004       178       178        1.00000        0.01220        2.54832
            438         178005       178       178        1.00000        0.01654        1.67044
            439         179002       179       179        1.00000        0.01457        2.10062
            440         179003       179       179        1.00000        0.00433        0.29573
            441         180001       179       180        1.51163        0.03839        9.65401
            442         180002       180       180        1.00000        0.01457        2.42859
            443         180003       180       180        1.00000        0.00787        0.85878
            444         180004       180       180        1.00000        0.00433        0.83346
            445         181001       181       181        1.00000        0.01220        1.44407
            446         181003       181       181        1.00000        0.00551        1.21898
            447         181004       181       181        1.00000        0.00472        1.09754
            448         181005       181       181        1.00000        0.01496        2.55428
            449         181006       181       181        1.00000        0.00512        0.55640
            450         182001       181       182        1.81707        0.02933        9.53187
            451         182002       182       182        1.00000        0.01575        1.78868
            452         182003       182       182        1.00000        0.00551        1.32724
            453         182004       182       182        1.00000        0.00472        0.90392
            454         183002       183       183        1.00000        0.01535        2.74061
            455         183004       183       183        1.00000        0.00433        0.41502
            456         183005       183       183        1.00000        0.01260        3.05044
            457         184001       183       184        1.74074        0.02776        7.97081
            458         184002       184       184        1.00000        0.00945        1.54413
            459         184003       183       184        1.90000        0.02992       17.60063
            460         184004       184       184        1.00000        0.00472        1.25058
            461         185002       185       185        1.00000        0.01024        0.98887
            462         185003       185       185        1.00000        0.01220        2.21455
            463         185004       185       185        1.00000        0.01929        4.98380
            464         186002       186       186        1.00000        0.00630        1.10177
            465         186003       186       186        1.00000        0.01614        4.13232
            466         186006       186       186        1.00000        0.00433        0.44720
            467         187004       187       187        1.00000        0.00512        0.45114
            468         187005       187       187        1.00000        0.00945        1.39737
