,T,Tmin,Tmax,Prec,Rad,Rs,RH,u2,u2mx,vap,aP
1936-06-26,19.4,12.0,25.7,0.0,,,70.0,,,15.6,1001.8
1936-06-27,20.0,12.5,25.5,5.0,,,68.0,,,15.6,1001.2
1936-06-28,20.0,15.0,25.5,0.0,,,71.0,,,16.5,1003.6
1936-06-29,22.9,12.6,30.0,0.0,,,60.0,,,15.7,998.5
1936-06-30,20.1,17.5,26.0,20.5,,,87.0,,,21.1,997.1
1936-07-01,20.5,16.2,26.5,0.5,,,81.0,,,19.7,994.0
1936-07-02,18.3,16.3,21.9,6.5,,,81.0,,,17.2,997.0
1936-07-03,17.6,14.7,23.5,0.1,,,76.0,,,15.2,998.9
1936-07-04,18.7,12.4,24.4,0.0,,,69.0,,,14.9,1000.1
1936-07-05,18.7,16.5,23.1,1.0,,,77.0,,,17.1,1002.9
1936-07-06,20.5,15.0,25.1,0.0,,,75.0,,,18.4,1002.1
1936-07-07,22.3,15.6,28.3,6.0,,,70.0,,,18.9,998.3
1936-07-08,20.5,18.3,25.2,0.0,,,76.0,,,18.8,997.4
1936-07-09,19.6,14.3,27.5,4.0,,,75.0,,,17.2,994.4
1936-07-10,17.9,14.8,22.0,4.0,,,70.0,,,14.1,995.5
1936-07-11,16.5,13.8,20.2,1.2,,,82.0,,,15.7,995.8
1936-07-12,15.9,14.0,18.6,0.0,,,76.0,,,13.9,998.1
1936-07-13,17.3,11.3,21.2,0.6,,,65.0,,,13.1,997.1
1936-07-14,16.6,12.6,20.6,2.4,,,74.0,,,14.0,996.8
1936-07-15,18.5,11.8,22.2,6.8,,,75.0,,,15.7,992.0
1936-07-16,17.1,13.0,22.0,1.6,,,68.0,,,13.6,998.8
1936-07-17,20.0,13.3,26.0,0.0,,,60.0,,,13.9,1002.9
1936-07-18,25.1,15.0,32.8,0.0,,,58.0,,,18.3,997.3
1936-07-19,16.8,14.6,24.0,0.0,,,73.0,,,14.5,998.7
1936-07-20,17.7,11.5,25.8,7.0,,,68.0,,,13.7,996.0
1936-07-21,16.6,11.0,20.6,0.7,,,83.0,,,15.7,994.9
1936-07-22,17.3,13.0,23.5,1.6,,,72.0,,,14.4,996.6
1936-07-23,17.4,13.6,24.0,0.0,,,75.0,,,15.2,999.9
1936-07-24,19.8,10.5,27.0,0.0,,,70.0,,,15.5,1000.6
1936-07-25,19.1,15.3,26.5,8.0,,,75.0,,,17.5,998.6
1936-07-26,16.9,12.4,22.5,0.0,,,76.0,,,14.8,1000.9
1936-07-27,18.9,11.0,28.6,11.8,,,74.0,,,16.5,1000.9
1936-07-28,18.5,14.7,22.5,6.1,,,86.0,,,18.1,999.4
1936-07-29,18.1,15.3,22.3,0.0,,,64.0,,,13.6,998.9
1936-07-30,16.4,12.9,21.0,0.0,,,72.0,,,13.6,1002.1
1936-07-31,16.1,11.2,21.8,0.0,,,72.0,,,13.1,1001.9
1936-08-01,14.5,9.6,18.2,0.2,,,87.0,,,14.5,995.1
1936-08-02,15.8,11.1,19.4,0.3,,,78.0,,,14.0,992.9
1936-08-03,17.0,13.0,23.0,3.0,,,76.0,,,15.3,993.0
1936-08-04,16.2,12.5,20.3,0.1,,,62.0,,,11.5,998.3
1936-08-05,14.8,9.8,20.0,1.1,,,69.0,,,11.7,1002.1
1936-08-06,14.4,9.8,20.0,0.0,,,67.0,,,11.1,1005.7
1936-08-07,16.8,7.9,25.0,0.7,,,67.0,,,12.3,1004.6
1936-08-08,15.5,7.8,23.0,1.6,,,87.0,,,15.5,1004.3
1936-08-09,17.2,11.0,23.5,0.0,,,76.0,,,14.7,1004.0
1936-08-10,18.7,9.8,26.6,0.0,,,65.0,,,13.6,1001.8
1936-08-11,20.0,13.0,26.6,0.0,,,62.0,,,14.3,998.8
1936-08-12,18.7,13.2,25.7,8.8,,,73.0,,,15.9,994.7
1936-08-13,16.0,15.0,18.0,1.1,,,91.0,,,16.4,997.4
1936-08-14,14.9,14.3,19.8,4.7,,,89.0,,,15.2,1001.2
1936-08-15,16.9,12.4,22.5,0.0,,,79.0,,,15.1,1003.8
1936-08-16,18.1,11.7,26.5,0.0,,,80.0,,,16.7,1004.6
1936-08-17,19.3,11.3,28.0,0.0,,,74.0,,,15.7,1004.8
1936-08-18,20.2,12.0,29.2,0.0,,,70.0,,,15.6,1002.6
1936-08-19,20.5,14.8,27.0,2.8,,,75.0,,,17.9,1002.2
1936-08-20,16.3,15.5,19.8,2.6,,,96.0,,,17.9,1000.9
1936-08-21,18.3,11.7,24.5,0.7,,,81.0,,,16.8,1002.9
1936-08-22,18.0,15.2,21.8,0.5,,,82.0,,,16.9,1002.8
1936-08-23,15.2,12.4,18.9,1.6,,,72.0,,,12.5,1009.2
1936-08-24,17.6,12.1,20.7,0.0,,,70.0,,,13.7,1008.3
1936-08-25,19.3,14.9,23.1,0.0,,,69.0,,,14.9,1006.9
1936-08-26,14.4,11.6,21.2,0.0,,,65.0,,,11.1,1009.5
1936-08-27,13.8,8.8,21.7,0.0,,,66.0,,,10.3,1012.0
1936-08-28,13.0,5.6,24.1,0.0,,,70.0,,,10.0,1012.9
1936-08-29,15.3,5.2,26.0,0.0,,,65.0,,,10.0,1011.6
1936-08-30,19.8,8.5,26.9,0.5,,,57.0,,,11.9,1004.0
1936-08-31,17.1,15.8,21.2,0.1,,,67.0,,,13.3,996.3
1936-09-01,15.3,13.0,19.4,0.0,,,59.0,,,10.4,998.4
1936-09-02,14.2,11.2,19.4,0.2,,,67.0,,,10.8,1001.8
1936-09-03,17.9,11.5,23.6,0.0,,,82.0,,,16.8,998.8
1936-09-04,20.3,14.3,27.5,7.0,,,80.0,,,18.8,994.9
1936-09-05,17.9,15.7,23.8,0.1,,,79.0,,,16.7,992.8
1936-09-06,16.4,14.7,20.5,0.0,,,67.0,,,12.5,993.6
1936-09-07,16.0,11.7,19.1,1.3,,,70.0,,,12.7,988.7
1936-09-08,13.8,11.8,18.0,0.6,,,66.0,,,10.9,984.4
1936-09-09,13.2,11.4,15.2,8.5,,,91.0,,,13.9,992.7
1936-09-10,10.4,7.3,16.7,0.0,,,80.0,,,10.7,1006.1
1936-09-11,9.0,2.3,17.0,0.0,,,78.0,,,8.8,1010.0
1936-09-12,10.1,1.5,19.1,0.0,,,72.0,,,8.5,1010.5
1936-09-13,10.5,5.8,18.8,0.0,,,73.0,,,8.8,1009.6
1936-09-14,10.4,3.5,19.5,0.0,,,71.0,,,8.4,1009.1
1936-09-15,11.4,5.0,21.3,0.0,,,65.0,,,8.7,1009.7
1936-09-16,14.3,4.8,23.0,0.0,,,64.0,,,9.7,1011.8
1936-09-17,16.2,6.6,24.2,0.0,,,65.0,,,11.6,1011.8
1936-09-18,16.9,11.2,24.4,0.0,,,65.0,,,12.7,1008.3
1936-09-19,14.6,11.1,22.9,1.9,,,90.0,,,15.1,1009.4
1936-09-20,17.4,10.9,24.2,0.1,,,81.0,,,16.0,1011.1
1936-09-21,19.0,15.0,26.0,1.0,,,74.0,,,16.5,1011.4
1936-09-22,16.5,15.0,21.0,0.0,,,79.0,,,15.1,1012.1
1936-09-23,12.8,9.4,18.7,0.0,,,78.0,,,12.0,1010.4
1936-09-24,12.4,4.6,21.2,0.0,,,82.0,,,11.6,1003.2
1936-09-25,17.4,10.5,23.0,0.3,,,77.0,,,14.9,996.0
1936-09-26,11.6,8.5,18.1,1.5,,,76.0,,,11.2,993.6
1936-09-27,7.8,5.5,9.4,0.8,,,73.0,,,7.6,992.1
1936-09-28,7.1,5.5,10.3,3.5,,,69.0,,,6.9,996.0
1936-09-29,5.3,3.2,11.0,0.0,,,84.0,,,7.7,1001.9
1936-09-30,7.1,-1.0,13.4,3.0,,,75.0,,,7.2,1001.4
1936-10-01,7.5,4.8,10.0,3.8,,,88.0,,,9.6,999.1
1936-10-02,5.9,3.3,8.5,2.6,,,86.0,,,8.0,1005.3
1936-10-03,6.1,2.5,8.5,0.2,,,76.0,,,7.1,1006.1
1936-10-04,7.6,6.0,9.5,3.5,,,92.0,,,9.7,996.5
1936-10-05,4.4,1.3,7.1,0.8,,,94.0,,,7.7,998.5
1936-10-06,3.6,2.5,6.5,0.0,,,85.0,,,6.9,1000.8
1936-10-07,4.6,1.4,7.0,0.0,,,79.0,,,6.7,1001.3
1936-10-08,5.0,2.6,8.2,0.0,,,77.0,,,6.5,1001.6
1936-10-09,4.3,2.3,6.0,0.0,,,78.0,,,6.4,1003.4
1936-10-10,3.6,-1.0,6.5,0.0,,,81.0,,,6.4,1003.8
1936-10-11,2.6,-0.8,7.9,0.0,,,76.0,,,5.7,1006.9
1936-10-12,4.1,-2.5,6.7,1.5,,,87.0,,,7.1,1003.0
1936-10-13,9.0,5.5,11.2,0.3,,,81.0,,,9.2,996.6
1936-10-14,7.4,5.2,11.0,0.0,,,80.0,,,8.1,999.1
1936-10-15,12.4,6.9,15.1,0.2,,,69.0,,,9.6,997.2
1936-10-16,11.8,10.1,14.5,0.0,,,66.0,,,9.1,998.0
1936-10-17,12.1,9.4,13.8,0.0,,,65.0,,,8.9,999.4
1936-10-18,10.9,9.5,14.2,1.5,,,62.0,,,8.3,993.8
1936-10-19,7.3,5.4,11.5,7.7,,,76.0,,,8.0,992.5
1936-10-20,6.4,5.3,7.9,5.9,,,93.0,,,9.1,989.8
1936-10-21,6.2,4.1,8.7,5.0,,,84.0,,,7.9,1001.4
1936-10-22,10.6,5.6,11.5,8.3,,,94.0,,,11.9,1000.2
